,SimpleDistrict_1_s,SimpleDistrict_1_r,SimpleDistrict_2_s,SimpleDistrict_2_r,SimpleDistrict_3_s,SimpleDistrict_3_r,SimpleDistrict_4_s,SimpleDistrict_4_r,SimpleDistrict_5_s,SimpleDistrict_5_r,SimpleDistrict_6_s,SimpleDistrict_6_r,SimpleDistrict_7_s,SimpleDistrict_7_r,SimpleDistrict_8_s,SimpleDistrict_8_r,SimpleDistrict_9_s,SimpleDistrict_9_r,SimpleDistrict_10_s,SimpleDistrict_10_r,SimpleDistrict_11_s,SimpleDistrict_11_r,SimpleDistrict_12_s,SimpleDistrict_12_r,SimpleDistrict_13_s,SimpleDistrict_13_r,SimpleDistrict_14_s,SimpleDistrict_14_r,SimpleDistrict_15_s,SimpleDistrict_15_r,SimpleDistrict_16_s,SimpleDistrict_16_r,a_s,a_r,b_s,b_r,c_s,c_r,d_s,d_r,e_s,e_r,f_s,f_r,g_s,g_r,h_s,h_r,i_s,i_r
562,69.08823967116359,39.08823967116359,69.08823967116524,39.08823967116507,69.08823967116535,39.088239671165354,69.08823967116354,39.08823967116331,69.36968701718831,39.369687017188085,69.36968701718803,39.36968701718797,69.36968701718678,39.3696870171874,69.36968701718678,39.36968701718678,69.54806963176605,39.548069631766054,69.54806963176708,39.54806963176708,69.54806963176708,39.54806963176708,69.54806963176605,39.548069631766054,69.66728903649334,39.66728903649454,69.66728903649334,39.66728903649454,69.66728903649368,39.66728903649488,69.66728903649368,39.667289036493685,69.31495445005646,38.9770580326296,69.59748167717254,39.048559652743904,69.77654872532435,39.119404530012105,69.89622556119349,39.18438998275565,69.31495445005476,38.977058032624825,69.59748167717072,39.04855965273987,69.77654872532332,39.11940453001034,69.8962255611932,39.184389982755306,70.00000000000011,39.133913421215766
563,69.07618026692705,39.076180266927054,69.07618026692711,39.07618026692711,69.07618026692711,39.076180266926826,69.07618026692705,39.07618026692734,69.36133003942882,39.36133003942825,69.36133003942882,39.36133003942888,69.36133003942831,39.36133003942831,69.36133003942831,39.36133003942831,69.54206860379963,39.542068603799635,69.54206860380111,39.54206860380111,69.54206860380054,39.542068603800544,69.54206860379958,39.54206860379958,69.66286659790671,39.662866597906714,69.66286659790671,39.662866597906714,69.66286659790791,39.66286659790791,69.66286659790791,39.66286659790791,69.30587605397562,38.96356619636208,69.59213452546777,39.03602377517336,69.77357582462366,39.10780710532089,69.89484349686882,39.173649975407045,69.30587605397557,38.96356619636475,69.5921345254672,39.0360237751745,69.77357582462275,39.10780710532248,69.89484349686762,39.173649975409376,69.99999999999994,39.12251999182541
564,69.00648588728217,39.00648588728217,69.00648588728308,39.00648588728308,69.00648588728308,39.00648588728308,69.00648588728217,39.00648588728217,69.3130225535462,39.313022553546205,69.3130225535462,39.313022553546205,69.31302255354507,39.31302255354507,69.31302255354507,39.31302255354507,69.50737497410364,39.507374974104266,69.50737497410483,39.507374974104835,69.50737497410347,39.50737497410347,69.50737497410302,39.507374974103016,69.63729692541443,39.63729692541443,69.63729692541443,39.63729692541443,69.63729692541341,39.63729692541341,69.63729692541341,39.63729692541341,69.25340059942738,38.885613025291036,69.5612199791342,38.963600554079676,69.75638567422044,39.04080814306474,69.88685128849698,39.11160514299377,69.25340059942653,38.88561302529075,69.56121997913306,38.96360055408235,69.75638567422061,39.040808143065476,69.88685128849801,39.11160514299422,69.99999999999989,39.05670613279892
565,68.94078884313507,38.94078884313507,68.94078884313245,38.94078884313228,68.94078884313262,38.94078884313262,68.94078884313507,38.94078884313541,69.26746953893183,39.26746953893178,69.26746953893218,39.267469538932176,69.26746953893309,39.26746953893314,69.26746953893445,39.26746953893456,69.47465220545826,39.47465220545752,69.47465220545712,39.4746522054557,69.4746522054578,39.47465220545706,69.47465220545905,39.47465220545905,69.61317618995332,39.61317618995332,69.61317618995196,39.61317618995332,69.6131761899515,39.61317618995287,69.6131761899515,39.61317618995287,69.20392069106691,38.81216149615875,69.5320598012662,38.895369948747486,69.74016740210106,38.97769177298318,69.87930980506019,39.05315702846195,69.20392069106953,38.812161496159376,69.53205980126785,38.89536994875016,69.74016740210237,38.977691772984144,69.87930980506059,39.053157028462465,69.99999999999983,38.99471650870612
566,68.94078884313507,38.94078884313507,68.94078884313245,38.94078884313228,68.94078884313262,38.94078884313262,68.94078884313507,38.94078884313541,69.26746953893183,39.26746953893178,69.26746953893218,39.267469538932176,69.26746953893309,39.26746953893314,69.26746953893445,39.26746953893456,69.47465220545826,39.47465220545752,69.47465220545712,39.4746522054557,69.4746522054578,39.47465220545706,69.47465220545905,39.47465220545905,69.61317618995332,39.61317618995332,69.61317618995196,39.61317618995332,69.6131761899515,39.61317618995287,69.6131761899515,39.61317618995287,69.20392069106691,38.81216149615875,69.5320598012662,38.895369948747486,69.74016740210106,38.97769177298318,69.87930980506019,39.05315702846195,69.20392069106953,38.812161496159376,69.53205980126785,38.89536994875016,69.74016740210237,38.977691772984144,69.87930980506059,39.053157028462465,69.99999999999983,38.99471650870612
567,68.94078884313507,38.94078884313507,68.94078884313245,38.94078884313228,68.94078884313262,38.94078884313262,68.94078884313507,38.94078884313541,69.26746953893183,39.26746953893178,69.26746953893218,39.267469538932176,69.26746953893309,39.26746953893314,69.26746953893445,39.26746953893456,69.47465220545826,39.47465220545752,69.47465220545712,39.4746522054557,69.4746522054578,39.47465220545706,69.47465220545905,39.47465220545905,69.61317618995332,39.61317618995332,69.61317618995196,39.61317618995332,69.6131761899515,39.61317618995287,69.6131761899515,39.61317618995287,69.20392069106691,38.81216149615875,69.5320598012662,38.895369948747486,69.74016740210106,38.97769177298318,69.87930980506019,39.05315702846195,69.20392069106953,38.812161496159376,69.53205980126785,38.89536994875016,69.74016740210237,38.977691772984144,69.87930980506059,39.053157028462465,69.99999999999983,38.99471650870612
568,68.80608704966329,38.80608704966329,68.80608704966505,38.806087049665166,68.80608704966494,38.806087049665166,68.80608704966329,38.80608704966289,69.17402070659529,39.174020706595286,69.17402070659477,39.17402070659523,69.17402070659602,39.17402070659682,69.17402070659602,39.17402070659523,69.40750135514423,39.40750135514344,69.40750135514304,39.407501355142244,69.40750135514241,39.40750135514156,69.4075013551444,39.40750135514355,69.56366669430554,39.56366669430548,69.56366669430554,39.56366669430548,69.56366669430355,39.563666694305084,69.56366669430196,39.56366669430349,69.10242650779469,38.661653382021996,69.47221427993674,38.75559124039074,69.70687149935122,38.848402285112,69.8638237970452,38.93343381023442,69.10242650779298,38.661653382019836,69.47221427993719,38.75559124039091,69.70687149935247,38.848402285114844,69.8638237970456,38.9334338102376,70.0000000000004,38.867766390990255
569,68.7457587808455,38.745758780845506,68.74575878084698,38.7457587808467,68.7457587808471,38.74575878084687,68.74575878084528,38.74575878084522,69.13214667783359,39.132146677833646,69.13214667783274,39.13214667783319,69.13214667783137,39.13214667783217,69.13214667783257,39.13214667783262,69.37740156897564,39.37740156897644,69.37740156897576,39.37740156897661,69.37740156897667,39.377401568976666,69.37740156897564,39.37740156897564,69.54146968774916,39.54146968775001,69.54146968774916,39.54146968774916,69.54146968775132,39.54146968775302,69.54146968775132,39.54146968775132,69.05695193118146,38.59428663504025,69.44538663579141,38.69304057694427,69.6919407125053,38.79055078558224,69.8568779472086,38.879864398220775,69.05695193117987,38.59428663504127,69.44538663578959,38.693040576945066,69.69194071250519,38.79055078558167,69.8568779472082,38.87986439821964,70.00000000000023,38.810975306936996
570,68.70365811027983,38.70365811027983,68.70365811027983,38.70365811028012,68.70365811028012,38.703658110280344,68.70365811028006,38.70365811027966,69.10291657267868,39.10291657267902,69.10291657267908,39.102916572679476,69.10291657267697,39.10291657267783,69.10291657267697,39.102916572676975,69.35638686814383,39.35638686814292,69.35638686814474,39.35638686814474,69.35638686814491,39.356386868144,69.356386868144,39.35638686814394,69.52597068846052,39.52597068845961,69.52597068846143,39.52597068846137,69.52597068845972,39.52597068845796,69.52597068845796,39.525970688456255,69.02521013544123,38.54728900335601,69.42665555468898,38.64940783436202,69.68151424551877,38.7501979102895,69.85202696911938,38.84249896726726,69.02521013544111,38.54728900335539,69.42665555468784,38.649407834360375,69.68151424551797,38.75019791028899,69.85202696911932,38.84249896726777,69.99999999999977,38.77136710076161
571,68.666862915835,38.666862915835,68.66686291583335,38.66686291583346,68.66686291583324,38.66686291583301,68.666862915835,38.666862915835,69.077364682738,39.07736468273799,69.07736468273845,39.07736468273845,69.07736468273845,39.07736468273845,69.07736468273845,39.07736468273754,69.33801416584254,39.33801416584254,69.33801416584117,39.33801416584117,69.33801416584112,39.33801416584197,69.3380141658426,39.33801416584265,69.51241905639006,39.51241905639,69.51241905639091,39.51241905639,69.51241905638784,39.51241905638784,69.51241905638784,39.51241905638784,68.99746374038665,38.506224001606654,69.41027877607485,38.611286332276336,69.67239707700384,38.7149432917995,69.84778477790974,38.809854743583514,68.99746374038818,38.50622400160745,69.41027877607621,38.611286332276165,69.6723970770052,38.714943291799784,69.84778477791104,38.809854743583344,69.99999999999994,38.736766436280845
