Simple_District_1.supTemp.T|degC,Simple_District_1.retTemp.T|degC,senTem_ret_i.T|degC,Simple_District_1.plugFlowPipe1.port_a.m_flow|kg/s,Simple_District_1.Q_flow_positive.y,Network_CE1_heatLoss[end].plugFlowPipe_ret24.heatPort.Q_flow*(-1),fixedTemperature1.port.Q_flow|W,Simple_District_1.hea.dp|Pa,Network_CE1_heatLoss[end].plugFlowPipe_ret24.cor.res.dp*(-1)
68.41253781030842,38.41253781030842,38.46486380041393,0.05353905051012275,6713.796933969393,53.45128338712715,916.1415742227873,992352.1307289164,885.3059797562543
68.16522040160083,38.165220401600834,38.31964661363697,0.044348391670652,5561.288315499761,53.49379188673746,830.6604136436599,994500.0690275346,635.173142177094
68.07052599474216,38.070525994742155,38.223381354883145,0.043014328367607206,5393.9967772979435,53.54692545551304,851.8289107775781,994785.6677929875,601.9543759973517
68.01277757330699,38.01277757330699,38.156091861319126,0.04214670092459748,5285.196295944524,53.57182674352197,866.2592412993909,994967.7967220822,580.776243295771
67.97517902960101,37.97517902960101,38.11030942664542,0.041551095871194,5210.507422247728,53.58687186672885,875.2219340636057,995091.1684084155,566.4331300147493
67.9494044938847,37.9494044938847,38.0789852900265,0.04113263970189702,5158.033018617886,53.597102784887745,880.7695380705773,995177.0378943594,556.4513091918894
67.93130893513133,37.93130893513133,38.05727774897223,0.04083837494021999,5121.132217503587,53.60432899065901,884.3500008355022,995237.0224441917,549.4791110740488
67.91852810899333,37.91852810899333,38.042090578185146,0.0406323635262235,5095.298386188427,53.609457815241264,886.7673526467861,995278.8200289343,544.6211643153744
67.90949441028657,37.90949441028657,38.03140591426898,0.0404881598198629,5077.215241410808,53.613087410054,888.44230188664,995307.9808856294,541.2320861455149
67.90323144126742,37.90323144126742,38.02394549931426,0.04039005989159892,5064.913510406504,53.615616232027406,889.6484566953604,995327.7731525449,538.9319011357602
67.89905003539609,37.89905003539609,38.01885414570648,0.0403265358520644,5056.947595848876,53.61731746718072,890.5378457684965,995340.5698630699,537.4447464066737
67.89644970270957,37.89644970270958,38.015536205038714,0.040289208369201336,5052.266729497846,53.61839049897141,891.2035917489757,995348.0821530467,536.571726262087
67.89505705496647,37.89505705496647,38.013561376016206,0.04027184258727882,5050.089060444764,53.61898397281403,891.7059523755997,995351.5752597043,536.1657874556827
67.89470690020222,37.89470690020222,38.01268633734917,0.0402726754583134,5050.193502472501,53.61917684164618,892.1172041328027,995351.4077550509,536.1852533621914
67.8953008899664,37.89530088996641,38.012767500212256,0.04029042654232425,5052.419488407461,53.61900766513335,892.4739742154925,995347.8370755863,536.6002071275441
67.8965512020065,37.896551202006506,38.01357227470924,0.040318604096923324,5055.952953754185,53.61856479045682,892.7364555647146,995342.1666038613,537.259184827804
67.89810023841106,37.89810023841106,38.014800935702766,0.040349969145544395,5059.886130851267,53.617980831838345,892.8783299925835,995335.8511015933,537.9931287913467
67.89955125788912,37.899551257889115,38.01610670459251,0.04037678841861948,5063.249267694883,53.617405886573394,892.8841133472652,995330.4479245805,538.6210535379502
67.90050188054033,37.90050188054033,38.017123652071845,0.04039142207077953,5065.084327675753,53.61699424175003,892.7498589875358,995327.4985767445,538.9638109189244
67.90079866193915,37.90079866193915,38.0176399408675,0.0403925195919018,5065.2219568244855,53.61682885892049,892.5416620310989,995327.2773431607,538.9895215532828
67.90060996719802,37.90060996719802,38.01769397615902,0.04038544017216643,5064.33419758967,53.61687157963347,892.3609054778517,995328.7043010339,538.8236879485058
67.90002338329947,37.90002338329947,38.017346386539074,0.04037156545512514,5062.594308072692,53.61707270659227,892.2107465232948,995331.5003911782,538.4987418430115
67.89912254087697,37.899122540876974,38.01666936605157,0.04035239770444763,5060.190672137734,53.61739879441429,892.091659881853,995335.3619424918,538.0499757348108
67.89799436634225,37.89799436634225,38.015741401245464,0.040329591009086556,5057.330712539453,53.6178172475838,892.0046180534955,995339.9547654433,537.5162286760685
67.89672937632243,37.896729376322426,38.01464514588305,0.04030487726765503,5054.231609363941,53.61829393799616,891.9505119539608,995344.9293809843,536.9381159391652
67.89543294445005,37.89543294445005,38.013474042987504,0.04028033088633828,5051.15349314682,53.6187900373795,891.9331135102675,995349.8679926596,536.3641911076861
67.89415698804808,37.89415698804808,38.012290173005596,0.04025659790371433,5048.177377125777,53.61928026434116,891.9388249710082,995354.6407575556,535.8095432311285
67.89287291131932,37.892872911319316,38.01109533104973,0.04023260027897338,5045.168074983261,53.61976875956902,891.942963553156,995359.4645482417,535.2489692014442
67.89149767557204,37.89149767557204,38.00983849022863,0.04020639203730273,5041.881561477763,53.620284011166305,891.9252107092434,995364.7301764874,534.6370532520277
67.88993932861452,37.88993932861452,38.00844624847734,0.04017617511557468,5038.0923594930655,53.62086204823779,891.8783768058729,995370.7979413588,533.931926788481
67.88810510773511,37.88810510773512,38.00683676318389,0.04014023315797864,5033.585238010521,53.621538879311956,891.8006262918116,995378.010775359,533.0937409361823
67.88590821235945,37.88590821235945,38.00492899790929,0.04009702498007333,5028.166932501196,53.622348325127135,891.69333695151,995386.6752393508,532.0868754811701
67.88330094845693,37.883300948456935,38.00266710824665,0.04004596288857006,5021.763746226687,53.62331220019905,891.5674582180509,995396.9054067506,530.8980805767653
67.88029599523546,37.88029599523546,38.00004116698334,0.03998774354375897,5014.463040387374,53.624430567161255,891.4417467074054,995408.557311942,529.5440929397569
67.87695220369265,37.87695220369265,37.997084517742536,0.03992384198150805,5006.449784481109,53.625683788223995,891.3329586205964,995421.3314761871,528.0597199422494
