,SimpleDistrict_1_s,SimpleDistrict_1_r,SimpleDistrict_2_s,SimpleDistrict_2_r,SimpleDistrict_3_s,SimpleDistrict_3_r,SimpleDistrict_4_s,SimpleDistrict_4_r,SimpleDistrict_5_s,SimpleDistrict_5_r,SimpleDistrict_6_s,SimpleDistrict_6_r,SimpleDistrict_7_s,SimpleDistrict_7_r,SimpleDistrict_8_s,SimpleDistrict_8_r,SimpleDistrict_9_s,SimpleDistrict_9_r,SimpleDistrict_10_s,SimpleDistrict_10_r,SimpleDistrict_11_s,SimpleDistrict_11_r,SimpleDistrict_12_s,SimpleDistrict_12_r,SimpleDistrict_13_s,SimpleDistrict_13_r,SimpleDistrict_14_s,SimpleDistrict_14_r,SimpleDistrict_15_s,SimpleDistrict_15_r,SimpleDistrict_16_s,SimpleDistrict_16_r,a_s,a_r,b_s,b_r,c_s,c_r,d_s,d_r,e_s,e_r,f_s,f_r,g_s,g_r,h_s,h_r,i_s,i_r
0,68.43988400391515,38.439884003915154,68.4398840039135,38.439884003913505,68.4398840039135,38.439884003913505,68.43988400391515,38.43988400391521,68.91963233612614,38.91963233612614,68.91963233612665,38.919632336126654,68.91963233612546,38.91963233612597,68.91963233612546,38.9196323361254,69.22454906375066,39.22454906375077,69.224549063751,39.22454906375208,69.224549063751,39.224549063752136,69.22454906375066,39.22454906375077,69.4287030364734,39.42870303647237,69.4287030364734,39.42870303647237,69.42870303647544,39.42870303647544,69.42870303647544,39.428703036476406,68.82620788760113,38.25311339886258,69.30912765387887,38.37638791837662,69.61606007021408,38.49773679946554,69.82156362733326,38.60873907800038,68.82620788760278,38.25311339886832,69.30912765387819,38.37638791837804,69.61606007021373,38.49773679946696,69.82156362733326,38.60873907800118,70.00000000000023,38.523658417540105
1,68.43988400391515,38.439884003915154,68.4398840039135,38.439884003913505,68.4398840039135,38.439884003913505,68.43988400391515,38.43988400391521,68.91963233612614,38.91963233612614,68.91963233612665,38.919632336126654,68.91963233612546,38.91963233612597,68.91963233612546,38.9196323361254,69.22454906375066,39.22454906375077,69.224549063751,39.22454906375208,69.224549063751,39.224549063752136,69.22454906375066,39.22454906375077,69.4287030364734,39.42870303647237,69.4287030364734,39.42870303647237,69.42870303647544,39.42870303647544,69.42870303647544,39.428703036476406,68.82620788760113,38.25311339886258,69.30912765387887,38.37638791837662,69.61606007021408,38.49773679946554,69.82156362733326,38.60873907800038,68.82620788760278,38.25311339886832,69.30912765387819,38.37638791837804,69.61606007021373,38.49773679946696,69.82156362733326,38.60873907800118,70.00000000000023,38.523658417540105
2,68.12167893752633,38.121678937526326,68.12167893752405,38.12167893752405,68.12167893752405,38.12167893752405,68.12167893752633,38.121678937526326,68.6981845517181,38.6981845517181,68.6981845517181,38.6981845517181,68.6981845517181,38.6981845517181,68.6981845517181,38.6981845517181,69.06510438582256,39.065104385822565,69.065104385822,39.065104385821996,69.065104385822,39.065104385821996,69.06510438582256,39.065104385822565,69.31099094768803,39.310990947688026,69.31099094768803,39.310990947688026,69.31099094768791,39.31099094768791,69.31099094768791,39.31099094768791,68.5858414050648,37.898877189286964,69.16695102026716,38.047841491528004,69.5368010934609,38.19401255219884,69.78465131699966,38.32753776085127,68.58584140506707,37.89887718928725,69.16695102026716,38.047841491529994,69.53680109346146,38.19401255219992,69.78465131699971,38.32753776085207,70.0,38.22586612836062
3,68.06437373124118,38.064373731241176,68.06437373124652,38.06437373124652,68.06437373124663,38.06437373124635,68.06437373124112,38.06437373124112,68.65826432558242,38.65826432558168,68.65826432558265,38.65826432558265,68.65826432558072,38.65826432558134,68.65826432558055,38.65826432558123,69.03634324854164,39.03634324854295,69.0363432485405,39.036343248541186,69.03634324853982,39.036343248541186,69.03634324854039,39.03634324853908,69.28974872352279,39.289748723521484,69.28974872352302,39.289748723521654,69.28974872352302,39.28974872352296,69.28974872352302,39.289748723521654,68.54251913526576,37.83515825650164,69.14130026815212,37.98876854056459,69.52249257523579,38.13941216781086,69.77798478008901,38.27698910542313,68.54251913526025,37.83515825649886,69.14130026815144,37.9887685405634,69.5224925752363,38.13941216780785,69.77798478008901,38.2769891054204,70.00000000000011,38.17235707284431
4,68.0251901241798,38.0251901241798,68.02519012417832,38.02519012417832,68.0251901241785,38.02519012417832,68.02519012417952,38.02519012417952,68.6309610161282,38.630961016127856,68.6309610161282,38.6309610161282,68.63096101613058,38.630961016130584,68.63096101613058,38.630961016130584,69.01666895971107,39.016668959711126,69.0166689597097,39.01666895971039,69.01666895971033,39.01666895971039,69.01666895971175,39.016668959710444,69.27521623123687,39.27521623123687,69.27521623123829,39.27521623123829,69.27521623123789,39.275216231237835,69.27521623123789,39.275216231237835,68.5128904917106,37.79160235558811,69.12375287385663,37.948392852053814,69.51270268369461,38.10209509605545,69.77342303899826,38.24244170623564,68.51289049171214,37.79160235558538,69.12375287385902,37.94839285205245,69.51270268369598,38.10209509605551,69.7734230389986,38.24244170623558,69.99999999999977,38.13579026268445
5,67.99736036765535,37.99736036765535,67.99736036765552,37.99736036765569,67.99736036765557,37.997360367655745,67.9973603676554,37.99736036765535,68.61156564456928,38.611565644569566,68.61156564456928,38.61156564456928,68.61156564456996,38.61156564456928,68.61156564457059,38.61156564457059,69.00269141192246,39.00269141192183,69.00269141192109,39.00269141192109,69.00269141192109,39.00269141192109,69.00269141192251,39.00269141192251,69.26489088086612,39.26489088086612,69.26489088086737,39.26489088086595,69.26489088086447,39.264890880864414,69.26489088086447,39.264890880864414,68.49184401139524,37.76067374914197,69.11128598290003,37.91972464878694,69.50574647606305,38.07559944408274,69.77018144931151,38.21791280015361,68.49184401139507,37.760673749144246,69.11128598290139,37.9197246487883,69.50574647606442,38.075599444083934,69.77018144931327,38.217912800154636,70.00000000000011,38.10982946976816
6,67.9773341540041,37.9773341540041,67.97733415400455,37.97733415400472,67.97733415400438,37.97733415400404,67.97733415400415,37.9773341540041,68.59760700342866,38.597607003428266,68.597607003429,38.59760700342895,68.59760700342667,38.5976070034273,68.5976070034265,38.59760700342656,68.99263110739258,38.99263110739332,68.99263110739082,38.99263110739088,68.99263110739082,38.99263110739088,68.99263110739122,38.99263110739264,69.2574588356909,39.25745883569226,69.25745883568817,39.25745883568953,69.2574588356893,39.257458835689306,69.2574588356893,39.257458835689306,68.47669746134915,37.7384209677208,69.1023127692714,37.89909931515422,69.50073924669562,38.056537574529216,69.76784795690054,38.20026599676072,68.47669746134886,37.73842096771773,69.1023127692701,37.89909931515251,69.50073924669601,38.056537574528306,69.76784795690088,38.200265996760095,69.99999999999989,38.09115350730866
7,67.96300988368375,37.96300988368375,67.9630098836825,37.9630098836825,67.9630098836825,37.9630098836825,67.96300988368375,37.96300988368375,68.58762180433473,38.58762180433473,68.58762180433473,38.58762180433473,68.58762180433575,38.587621804335754,68.58762180433501,38.587621804335015,68.98543413363319,38.98543413363387,68.98543413363097,38.985434133630974,68.98543413363097,38.98543413363234,68.98543413363319,38.98543413363319,69.25214186903662,39.25214186903668,69.25214186903389,39.252141869033835,69.25214186903497,39.25214186903497,69.25214186903497,39.25214186903497,68.46586269471538,37.722505810418966,69.09589337917464,37.884348677809896,69.49715689308903,38.04290529793167,69.76617842714938,38.18764578096,68.46586269471663,37.722505810420046,69.0958933791756,37.884348677809726,69.49715689308994,38.04290529793309,69.76617842714978,38.187645780960736,70.00000000000011,38.07779778643612
8,67.95286029727646,37.95286029727646,67.95286029727862,37.952860297278676,67.95286029727873,37.95286029727902,67.9528602972768,37.9528602972768,68.58054624109064,38.5805462410907,68.58054624109064,38.5805462410907,68.58054624108888,38.58054624108888,68.58054624108809,38.58054624108814,68.98033411020776,38.980334110208446,68.9803341102076,38.98033411020759,68.98033411020828,38.980334110208275,68.9803341102064,38.9803341102064,69.24837397948477,39.24837397948613,69.24837397948619,39.24837397948755,69.24837397948579,39.24837397948579,69.24837397948602,39.2483739794846,68.45818522118537,37.71122985751663,69.09134432629025,37.87389808056673,69.49461817993932,38.03324715132021,69.76499524579094,38.17870468724681,68.45818522118316,37.71122985751833,69.09134432628844,37.87389808056713,69.49461817993875,38.0332471513189,69.76499524579128,38.1787046872455,70.0,38.06833586109639
9,67.9456954155919,37.9456954155919,67.94569541559127,37.945695415591274,67.9456954155911,37.94569541559093,67.9456954155919,37.9456954155915,68.57555116822653,38.575551168226525,68.57555116822618,38.5755511682255,68.57555116822715,38.57555116822715,68.57555116822635,38.57555116822704,68.97673358635888,38.976733586358876,68.97673358635944,38.976733586359444,68.97673358635808,38.976733586357454,68.97673358635888,38.976733586358876,69.24571386603867,39.24571386603867,69.24571386604003,39.24571386603998,69.24571386604049,39.24571386604043,69.24571386604049,39.24571386604043,68.45276527180033,37.703270276417754,69.08813275164187,37.866521253812266,69.49282582763544,38.02642975116299,69.7641598937497,38.17239344934302,68.45276527180113,37.70327027642014,69.08813275164215,37.86652125381369,69.49282582763487,38.026429751163164,69.76415989374937,38.17239344934313,70.0,38.06165711160264
